Date,Series,Value,Series ID,Metric,Unit,Source,Attribution boundary
2020-07-01,Manufacturing,1.6,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-08-01,Manufacturing,1.8,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-09-01,Manufacturing,2.0,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-10-01,Manufacturing,2.0,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-11-01,Manufacturing,2.1,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-12-01,Manufacturing,2.1,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-01-01,Manufacturing,2.1,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-02-01,Manufacturing,2.2,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-03-01,Manufacturing,2.2,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-04-01,Manufacturing,2.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-05-01,Manufacturing,2.1,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-06-01,Manufacturing,2.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-07-01,Manufacturing,2.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-08-01,Manufacturing,2.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-09-01,Manufacturing,2.7,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-10-01,Manufacturing,2.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-11-01,Manufacturing,2.5,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-12-01,Manufacturing,2.6,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-01-01,Manufacturing,2.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-02-01,Manufacturing,2.6,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-03-01,Manufacturing,2.7,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-04-01,Manufacturing,2.6,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-05-01,Manufacturing,2.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-06-01,Manufacturing,2.5,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-07-01,Manufacturing,2.1,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-08-01,Manufacturing,2.3,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-09-01,Manufacturing,2.0,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-10-01,Manufacturing,2.1,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-11-01,Manufacturing,2.1,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-12-01,Manufacturing,2.0,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-01-01,Manufacturing,2.2,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-02-01,Manufacturing,2.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-03-01,Manufacturing,2.1,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-04-01,Manufacturing,1.9,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-05-01,Manufacturing,2.2,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-06-01,Manufacturing,2.0,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-07-01,Manufacturing,1.9,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-08-01,Manufacturing,1.8,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-09-01,Manufacturing,1.8,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-10-01,Manufacturing,1.7,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-11-01,Manufacturing,1.8,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2023-12-01,Manufacturing,1.8,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-01-01,Manufacturing,1.7,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-02-01,Manufacturing,1.7,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-03-01,Manufacturing,1.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-04-01,Manufacturing,1.7,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-05-01,Manufacturing,1.7,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-06-01,Manufacturing,1.6,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-07-01,Manufacturing,1.7,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-08-01,Manufacturing,1.7,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-09-01,Manufacturing,1.5,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-10-01,Manufacturing,1.6,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-11-01,Manufacturing,1.5,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2024-12-01,Manufacturing,1.5,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-01-01,Manufacturing,1.5,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-02-01,Manufacturing,1.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-03-01,Manufacturing,1.5,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-04-01,Manufacturing,1.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-05-01,Manufacturing,1.2,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-06-01,Manufacturing,1.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-07-01,Manufacturing,1.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-08-01,Manufacturing,1.3,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-09-01,Manufacturing,1.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-10-01,Manufacturing,1.3,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-11-01,Manufacturing,1.5,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2025-12-01,Manufacturing,1.4,JTS300000000000000QUR,Quits rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
